time,latitude,longitude,chl
2023-03-01,21.5,90.75,2.7724276
2023-03-01,21.5,90.25,0.5583862
2023-03-01,21.5,87.75,0.61165386
2023-03-01,20.0,90.0,0.1808745
2023-03-01,20.5,91.0,0.12493577
2023-03-01,21.0,90.0,0.25208038
2023-03-01,22.0,91.0,3.6884613
2023-03-01,21.0,87.25,0.29341286
2023-03-01,21.0,90.75,0.2420081
2023-03-01,21.75,90.75,2.949645
2023-03-01,20.5,90.75,0.1275559
2023-03-01,21.0,87.75,0.23399189
2023-03-01,20.75,90.75,0.14971088
2023-03-01,21.5,89.0,0.62976515
2023-03-01,20.75,90.25,0.14826083
2023-03-01,20.75,87.25,0.36067718
2023-03-01,21.0,90.25,0.34376943
2023-03-01,20.0,90.25,0.14628726
2023-03-01,21.25,87.75,0.56414694
2023-03-01,22.25,90.75,4.421009
2023-03-01,20.0,88.25,0.15488218
2023-03-01,22.0,90.5,2.6527452
2023-03-01,21.75,90.25,0.4149233
2023-03-01,20.25,87.75,0.15153874
2023-03-01,21.5,87.5,0.61048794
2023-03-01,20.0,91.0,0.11196301
2023-03-01,20.25,89.25,0.17211439
2023-03-01,21.25,90.25,0.6060356
2023-03-01,21.75,90.5,1.5800462
2023-03-01,20.25,90.0,0.16292289
2023-03-01,20.25,87.5,0.17237464
2023-03-01,20.0,88.0,0.15462197
2023-03-01,21.5,89.5,0.40090096
2023-03-01,21.0,89.0,0.25352323
2023-03-01,21.75,89.75,0.42920226
2023-03-01,20.0,88.75,0.16496326
2023-03-01,20.75,89.5,0.12848398
2023-03-01,21.25,87.25,0.521963
2023-03-01,21.5,89.25,0.547577
2023-03-01,20.0,89.75,0.1869498
2023-03-01,20.75,88.5,0.15942945
2023-03-01,21.25,89.75,0.27338156
2023-03-01,20.5,87.25,0.35211796
2023-03-01,21.0,91.0,0.288372
2023-03-01,21.5,87.25,0.6124061
2023-03-01,22.25,91.0,4.4502425
2023-03-01,21.25,87.0,0.6552672
2023-03-01,21.0,88.25,0.32197455
2023-03-01,20.0,90.5,0.11515421
2023-03-01,21.0,89.25,0.21732326
2023-03-01,21.75,87.75,0.78224486
2023-03-01,20.25,88.25,0.13965155
2023-03-01,20.25,89.75,0.17137273
2023-03-01,21.25,89.25,0.3226402
2023-03-01,21.25,89.5,0.28112036
2023-03-01,20.5,87.0,0.51987815
2023-03-01,20.5,90.0,0.14394231
2023-03-01,20.75,89.0,0.13053367
2023-03-01,22.5,90.75,3.1987615
2023-03-01,21.5,89.75,0.35524717
2023-03-01,21.75,88.0,0.585509
2023-03-01,20.5,88.5,0.13426223
2023-03-01,20.25,90.25,0.1290493
2023-03-01,20.5,88.0,0.1412972
2023-03-01,20.75,88.25,0.15043063
2023-03-01,21.0,88.5,0.33572385
2023-03-01,21.5,88.25,0.5904361
2023-03-01,21.75,91.0,3.143509
2023-03-01,20.5,89.25,0.14576836
2023-03-01,20.0,87.75,0.16517486
2023-03-01,20.5,89.0,0.13316876
2023-03-01,20.75,88.0,0.14686814
2023-03-01,21.0,88.75,0.30284652
2023-03-01,20.25,88.0,0.14531122
2023-03-01,20.75,89.25,0.12865084
2023-03-01,20.75,88.75,0.15150063
2023-03-01,21.25,91.0,1.0217097
2023-03-01,21.75,89.5,0.51693547
2023-03-01,20.25,87.25,0.24486664
2023-03-01,21.25,89.0,0.31408858
2023-03-01,20.0,87.0,0.2622731
2023-04-01,20.25,88.75,0.20168903
2023-04-01,20.75,90.75,0.16542472
2023-04-01,20.25,91.0,0.113907434
2023-04-01,21.25,90.25,0.6031687
2023-04-01,21.75,88.0,0.49766123
2023-04-01,20.75,89.0,0.19284993
2023-04-01,20.5,91.0,0.12393062
2023-04-01,21.0,88.5,0.29753426
2023-04-01,20.5,87.5,0.34203875
2023-04-01,20.25,88.25,0.20934886
2023-04-01,20.0,88.75,0.19192073
2023-04-01,20.75,90.5,0.17436564
2023-04-01,21.5,90.75,3.8468409
2023-04-01,20.25,87.5,0.24287222
2023-04-01,21.0,87.5,0.27685255
2023-04-01,20.25,87.25,0.34293008
2023-04-01,21.5,87.25,0.5945057
2023-04-01,21.25,90.75,1.0023053
2023-04-01,21.0,90.0,0.32018957
2023-04-01,21.25,88.5,0.43149072
2023-04-01,20.75,87.0,0.9148498
2023-04-01,20.75,88.25,0.20666742
2023-04-01,20.25,90.75,0.115661405
2023-04-01,21.25,87.25,0.5666437
2023-04-01,21.75,87.75,0.67527616
2023-04-01,20.0,90.0,0.16438362
2023-04-01,21.75,89.5,0.80278504
2023-04-01,21.0,90.5,0.38212645
2023-04-01,20.0,87.0,0.30068365
2023-04-01,21.5,87.75,0.5499017
2023-04-01,21.25,90.5,0.85377896
2023-04-01,21.5,88.75,0.9189892
2023-04-01,22.25,91.0,5.6920433
2023-04-01,20.5,89.5,0.18640478
2023-04-01,21.5,89.5,0.508896
2023-04-01,21.5,90.5,1.985432
2023-04-01,20.75,88.75,0.18660755
2023-04-01,20.25,89.0,0.19819686
2023-04-01,20.0,87.5,0.20664835
2023-04-01,21.5,88.25,0.500795
2023-04-01,21.0,88.75,0.260364
2023-04-01,21.25,88.0,0.4488264
2023-04-01,21.0,87.0,0.84600437
2023-04-01,20.25,90.0,0.1585298
2023-04-01,22.5,91.0,3.3197982
2023-04-01,21.0,89.0,0.23391533
2023-04-01,20.5,90.75,0.12752959
2023-04-01,21.0,90.25,0.418352
2023-04-01,21.5,90.25,0.91468966
2023-04-01,21.25,89.5,0.29789147
2023-04-01,21.25,88.25,0.43325746
2023-04-01,20.0,88.0,0.19892004
2023-04-01,20.0,89.5,0.18073246
2023-04-01,20.5,90.5,0.13038233
2023-04-01,20.5,90.0,0.15744883
2023-04-01,21.0,87.25,0.42235765
2023-04-01,20.75,91.0,0.15888448
2023-04-01,22.0,91.0,5.155744
2023-04-01,21.75,90.5,2.2461786
2023-04-01,20.5,88.75,0.21220616
2023-04-01,20.0,91.0,0.10822587
2023-04-01,20.75,88.5,0.19100462
2023-04-01,21.25,87.0,0.68592286
2023-04-01,22.25,90.75,5.9570003
2023-04-01,21.25,89.25,0.3339674
2023-04-01,20.0,87.25,0.22222443
2023-04-01,20.0,90.5,0.1128573
2023-04-01,20.5,87.25,0.5455297
2023-04-01,20.75,87.5,0.32304987
2023-04-01,20.25,89.25,0.19348468
2023-04-01,21.0,89.25,0.22023664
2023-04-01,21.5,88.5,0.5156178
2023-04-01,20.25,89.75,0.18188295
2023-04-01,21.5,91.0,4.1192727
2023-04-01,21.25,91.0,1.3254774
2023-04-01,20.0,89.25,0.18434763
2023-04-01,20.25,90.5,0.11907081
2023-04-01,20.5,89.75,0.17315762
2023-04-01,22.0,90.75,4.908701
2023-04-01,20.5,88.5,0.21907821
2023-04-01,21.0,89.5,0.21680112
2023-04-01,20.25,87.0,0.45108467
2023-04-01,21.0,89.75,0.21468651
2023-04-01,21.5,88.0,0.51532173
2023-04-01,21.0,88.25,0.316389
2023-04-01,21.75,90.0,0.69262123
2023-04-01,20.5,88.25,0.22587273
2023-04-01,21.0,88.0,0.32594422
2023-04-01,20.25,89.5,0.1837784
2023-04-01,20.75,89.5,0.17828351
2023-04-01,20.5,87.75,0.26468593
2023-04-01,20.25,88.5,0.2067148
2023-04-01,20.0,89.0,0.18887281
2023-04-01,21.5,89.25,0.75609183
2023-04-01,21.25,89.75,0.3108646
2023-04-01,20.75,90.0,0.15847683
2023-04-01,21.0,91.0,0.29950833
2023-04-01,21.5,90.0,0.39704013
2023-04-01,20.75,88.0,0.23370677
2023-04-01,21.25,88.75,0.34688646
2023-04-01,20.5,87.0,0.7457381
2023-04-01,21.25,89.0,0.29731333
2023-04-01,21.25,90.0,0.63243663
2023-04-01,21.25,87.5,0.52589524
2023-04-01,21.0,87.75,0.28962302
2023-04-01,20.5,90.25,0.13557196
2023-04-01,20.0,88.25,0.19569013
2023-04-01,20.0,90.75,0.10870341
2023-04-01,21.75,89.75,0.6251206
