time,latitude,longitude,si
2022-02-01,20.0,89.25,1.4738516
2022-02-01,20.5,90.75,1.7040167
2022-02-01,21.5,90.25,9.087102
2022-02-01,20.5,89.0,1.3797133
2022-02-01,20.25,89.75,1.4674929
2022-02-01,21.0,88.0,2.3339527
2022-02-01,22.25,91.0,22.675535
2022-02-01,20.0,88.5,1.3972464
2022-02-01,20.0,89.0,1.4575622
2022-02-01,21.75,90.75,17.919561
2022-02-01,21.5,90.0,5.8604226
2022-02-01,21.75,91.0,22.969206
2022-02-01,20.0,88.75,1.4294463
2022-02-01,20.5,90.5,1.6085354
2022-02-01,21.5,89.25,3.4745538
2022-02-01,20.0,89.5,1.4841211
2022-02-01,20.5,89.5,1.4140904
2022-02-01,21.5,91.0,30.597195
2022-02-01,20.0,87.75,1.356831
2022-02-01,20.5,88.5,1.3701469
2022-02-01,20.0,90.0,1.5181265
2022-02-01,21.5,88.5,3.4428616
2022-02-01,20.75,87.0,2.8446758
2022-02-01,21.0,88.25,2.3074896
2022-02-01,20.5,89.25,1.3926628
2022-02-01,20.0,87.25,1.3728702
2022-02-01,20.25,90.25,1.5410873
2022-02-01,21.75,90.0,6.418508
2022-02-01,21.5,90.75,23.794714
2022-02-01,21.5,89.5,3.916227
2022-02-01,20.5,88.75,1.3721019
2022-03-01,20.75,90.75,3.7201872
2022-03-01,21.25,89.5,2.509509
2022-03-01,20.0,87.25,1.4797416
2022-03-01,20.0,87.0,1.5272608
2022-03-01,20.75,89.0,1.5299448
2022-03-01,20.5,89.0,1.4571398
2022-03-01,20.0,91.0,2.4105766
2022-03-01,20.0,89.5,1.4399285
2022-03-01,20.25,89.5,1.4068854
2022-03-01,20.0,89.25,1.4478861
2022-03-01,20.25,88.75,1.4591041
2022-03-01,21.0,88.75,2.0894175
2022-03-01,20.5,87.5,1.4921402
2022-03-01,21.25,90.0,4.9163527
2022-03-01,20.0,87.5,1.4621853
2022-03-01,21.0,90.5,4.790039
2022-03-01,21.0,87.75,1.8910605
2022-03-01,21.5,89.5,2.9656582
2022-03-01,20.5,90.25,1.5197618
2022-03-01,20.25,87.0,1.700476
2022-03-01,20.25,90.75,2.0574496
2022-03-01,20.75,88.5,1.6161913
2022-03-01,20.75,88.75,1.615496
2022-03-01,21.5,89.75,3.4241343
2022-03-01,21.0,90.75,6.405728
2022-03-01,20.5,90.5,1.9704314
2022-03-01,21.25,89.75,3.0416543
2022-03-01,21.25,90.25,5.9978514
2022-03-01,22.25,90.75,19.167223
2022-03-01,21.75,90.25,5.3318973
2022-03-01,20.25,89.25,1.4223241
2022-03-01,21.5,90.0,3.811307
2022-03-01,20.25,87.75,1.4258015
2022-03-01,22.5,91.0,19.197758
2022-03-01,20.0,88.0,1.4531705
2022-03-01,21.25,88.25,3.2038338
2022-03-01,21.5,90.75,11.884098
2022-03-01,22.0,90.5,8.497179
2022-03-01,20.5,87.0,2.0908215
2022-03-01,20.5,89.25,1.4384762
2022-03-01,20.25,91.0,2.7536473
2022-03-01,21.25,88.0,3.016032
2022-03-01,20.5,89.75,1.408338
2022-03-01,20.0,88.75,1.4703847
2022-03-01,20.25,88.25,1.4244298
2022-03-01,20.25,88.0,1.4193511
2022-03-01,20.5,89.5,1.4199249
2022-03-01,20.0,88.25,1.4563894
2022-03-01,20.75,90.0,1.6997168
2022-03-01,21.25,87.25,2.5748591
2022-03-01,21.25,87.75,2.8024366
2022-03-01,20.75,90.25,2.2897065
2022-03-01,21.5,91.0,16.856714
2022-03-01,22.5,90.75,28.46297
2022-03-01,21.0,88.25,2.1214747
2022-03-01,22.0,91.0,12.859723
2022-03-01,20.75,89.75,1.4801652
2022-03-01,20.25,90.0,1.4043835
2022-03-01,21.25,89.25,2.4496949
2022-03-01,21.0,88.5,2.1752932
2022-03-01,21.0,88.0,1.9652904
2022-03-01,20.75,89.25,1.4910218
2022-03-01,20.25,88.5,1.4386429
2022-03-01,21.25,89.0,2.381571
2022-03-01,21.5,90.25,5.963293
2022-03-01,20.25,89.75,1.408229
2022-03-01,20.5,90.0,1.4034106
2022-03-01,20.5,87.75,1.404972
2022-03-01,20.5,87.25,1.7200269
