time,latitude,longitude,kd
2023-12-01,20.5,88.0,0.06541347
2023-12-01,20.75,87.0,0.075344086
2023-12-01,21.0,91.0,0.05039856
2023-12-01,20.0,90.5,0.045170125
2023-12-01,21.5,91.0,0.20716299
2023-12-01,21.0,88.5,0.066904694
2024-01-01,22.5,90.75,0.15182275
2024-01-01,21.75,89.75,0.10603564
2024-01-01,21.25,91.0,0.081545144
2024-01-01,20.5,90.25,0.052211303
2024-01-01,20.5,90.5,0.048781354
2024-01-01,20.25,89.25,0.047230966
2024-01-01,20.25,89.5,0.047949936
2024-01-01,20.75,88.25,0.05420559
2024-01-01,21.75,90.25,0.19449691
2024-01-01,22.25,90.75,0.2493313
2024-01-01,21.75,90.75,0.25497362
2024-01-01,20.75,91.0,0.05052381
2024-01-01,20.5,88.0,0.05410883
2024-01-01,21.0,87.75,0.056213547
2024-01-01,20.25,91.0,0.04588487
2024-01-01,21.5,88.75,0.0715244
2024-01-01,20.0,88.5,0.049946375
2024-01-01,21.0,89.25,0.058221534
2024-01-01,20.5,87.75,0.058041904
2024-01-01,20.75,88.5,0.053031713
2024-01-01,21.25,89.25,0.06200398
2024-01-01,20.5,90.0,0.05564581
2024-01-01,20.25,88.75,0.04885799
2024-01-01,21.0,87.25,0.050909657
2024-01-01,20.0,87.5,0.059574336
2024-01-01,21.5,89.0,0.066981964
2024-01-01,21.25,89.0,0.063981585
2024-01-01,21.25,88.25,0.06642778
2024-01-01,21.0,90.0,0.06213907
2024-01-01,21.25,87.5,0.049383726
2024-01-01,21.25,89.5,0.061929964
2024-01-01,20.5,87.5,0.05515165
2024-01-01,20.75,87.0,0.073788084
2024-01-01,20.0,87.75,0.06141618
2024-01-01,20.5,89.75,0.054265752
2024-01-01,20.75,87.25,0.056715403
2024-01-01,20.25,89.0,0.047663458
2024-01-01,21.25,88.5,0.06779907
2024-01-01,21.25,87.75,0.064975485
2024-01-01,20.5,89.0,0.04970256
2024-01-01,21.0,89.75,0.057547342
2024-01-01,21.25,88.75,0.06514326
2024-01-01,21.5,87.75,0.10557546
2024-01-01,20.5,87.0,0.0647987
2024-01-01,20.0,88.25,0.05032849
2024-01-01,20.0,88.0,0.05374564
2024-01-01,21.0,87.5,0.049996328
2024-01-01,20.5,88.75,0.050134923
2024-01-01,20.25,90.75,0.04619369
2024-01-01,22.25,91.0,0.25875822
2024-01-01,21.25,88.0,0.07170618
2024-01-01,20.5,88.5,0.049971644
2024-01-01,21.5,87.5,0.06426326
2024-01-01,20.75,87.5,0.053140808
2024-01-01,20.5,91.0,0.046872932
2024-01-01,21.25,90.25,0.07124026
2024-01-01,20.25,90.5,0.047996473
2024-01-01,20.5,90.75,0.04602473
2024-01-01,20.75,87.75,0.056593057
2024-01-01,21.5,87.25,0.051208075
2024-01-01,20.5,89.5,0.050180487
2024-01-01,20.25,89.75,0.049191285
2024-01-01,20.75,90.75,0.050923254
2024-01-01,20.75,88.0,0.056035634
2024-01-01,21.25,90.5,0.08033081
2024-01-01,21.5,88.25,0.111240886
2024-01-01,21.25,89.75,0.06208336
2024-01-01,20.5,88.25,0.05032339
2024-01-01,20.5,87.25,0.05999587
2024-01-01,21.0,87.0,0.06394405
2024-01-01,20.5,89.25,0.049519133
2024-01-01,21.0,89.5,0.05677696
2024-01-01,21.75,90.0,0.11751718
2024-01-01,21.5,88.0,0.11692859
2024-01-01,20.25,90.25,0.049247652
2024-01-01,21.0,90.25,0.06259063
2024-01-01,21.25,90.75,0.07155845
2024-01-01,21.25,90.0,0.06848999
2024-01-01,20.25,90.0,0.051145405
2024-01-01,22.0,90.5,0.21807994
2024-01-01,21.5,88.5,0.07604816
2024-01-01,21.75,91.0,0.26121038
2024-01-01,20.0,87.25,0.061784018
2024-01-01,20.75,90.25,0.056407038
2024-01-01,21.5,89.5,0.06550023
2024-01-01,21.0,90.5,0.057418536
2024-01-01,20.75,88.75,0.052100644
2024-01-01,21.5,90.75,0.17275664
2024-01-01,20.25,88.0,0.052627854
2024-01-01,21.5,90.0,0.06650807
2024-01-01,22.5,91.0,0.15953448
2024-01-01,20.0,89.75,0.047713924
2024-01-01,20.0,90.75,0.053488053
2024-01-01,20.75,89.5,0.05140334
2024-01-01,21.0,89.0,0.05917325
2024-01-01,21.0,90.75,0.059157602
2024-01-01,21.0,88.5,0.06352352
2024-01-01,20.0,88.75,0.04952989
2024-01-01,20.75,89.75,0.05464778
2024-01-01,20.75,90.5,0.052472148
2024-01-01,21.5,91.0,0.17651168
2024-01-01,21.25,87.25,0.04793653
2024-01-01,20.25,87.5,0.057726342
2024-01-01,20.25,87.75,0.059643675
2024-01-01,20.0,90.25,0.049772047
2024-01-01,20.0,90.5,0.051578473
2024-01-01,20.75,89.0,0.051500462
2024-01-01,20.0,87.0,0.06289319
2024-01-01,21.0,91.0,0.05623798
2024-01-01,21.5,89.75,0.066385396
2024-01-01,20.0,90.0,0.0485101
2024-01-01,20.0,89.5,0.047745455
2024-01-01,21.75,87.75,0.11212321
2024-01-01,20.25,87.0,0.06181916
2024-01-01,20.25,87.25,0.060440455
2024-01-01,21.5,89.25,0.061316308
2024-01-01,20.0,89.25,0.048006147
2024-01-01,21.75,88.0,0.10728432
2024-01-01,21.75,89.5,0.0650781
2024-01-01,21.0,88.25,0.06451458
2024-01-01,21.0,88.75,0.06107304
2024-01-01,22.0,90.75,0.25831738
2024-01-01,22.0,91.0,0.2707908
2024-01-01,20.25,88.5,0.04931838
2024-01-01,21.25,87.0,0.04734865
2024-01-01,20.75,90.0,0.05808971
2024-01-01,20.0,91.0,0.055580888
2024-01-01,20.0,89.0,0.048111223
2024-01-01,21.0,88.0,0.064840876
2024-01-01,21.75,90.5,0.2515802
2024-01-01,21.5,90.5,0.2428465
2024-01-01,21.5,90.25,0.091740154
2024-01-01,20.25,88.25,0.04947824
2024-01-01,20.75,89.25,0.05150498
2024-02-01,21.5,90.5,0.20985202
2024-02-01,20.5,87.75,0.047603205
2024-02-01,21.25,90.75,0.052376475
2024-02-01,21.25,88.25,0.05504151
2024-02-01,20.0,90.5,0.04355531
2024-02-01,20.0,88.75,0.04100391
2024-02-01,21.5,87.5,0.052048035
2024-02-01,20.75,87.0,0.06498094
2024-02-01,20.0,87.0,0.059042476
2024-02-01,21.0,87.25,0.042937346
2024-02-01,20.75,87.5,0.044515036
2024-02-01,21.5,90.25,0.09169423
2024-02-01,21.0,89.0,0.049876556
2024-02-01,21.75,90.0,0.09087996
2024-02-01,20.5,87.0,0.06175568
2024-02-01,20.25,88.5,0.0394257
2024-02-01,20.0,91.0,0.04809872
2024-02-01,20.0,87.25,0.048445027
2024-02-01,20.0,90.75,0.046027847
2024-02-01,22.0,90.5,0.1910677
2024-02-01,21.5,87.25,0.042587996
2024-02-01,21.25,91.0,0.05832527
2024-02-01,20.75,87.25,0.053133067
2024-02-01,20.75,89.25,0.04011089
2024-02-01,20.75,89.5,0.039663658
2024-02-01,20.5,87.5,0.05055053
2024-02-01,21.75,91.0,0.22157542
2024-02-01,20.25,91.0,0.042910844
2024-02-01,20.75,90.75,0.042999692
2024-02-01,21.5,90.75,0.1460524
2024-02-01,20.5,87.25,0.057234265
2024-02-01,21.0,90.5,0.04913443
2024-02-01,21.75,87.75,0.09200859
2024-02-01,20.5,89.25,0.039234456
2024-02-01,21.0,90.75,0.046182368
2024-02-01,21.25,89.75,0.05128361
2024-02-01,20.0,89.5,0.039903667
2024-02-01,22.5,91.0,0.13339698
2024-02-01,20.5,89.5,0.039007906
2024-02-01,20.75,90.0,0.039677713
2024-02-01,20.5,90.5,0.03933083
2024-02-01,20.0,89.25,0.04010623
2024-02-01,21.0,87.0,0.05841959
2024-02-01,21.75,90.25,0.19597398
2024-02-01,20.0,87.75,0.04225839
2024-02-01,21.25,89.5,0.050009117
2024-02-01,21.75,88.0,0.087269865
2024-02-01,21.0,90.0,0.048815034
2024-02-01,21.0,88.75,0.05147729
2024-02-01,21.25,89.0,0.053339485
2024-02-01,20.5,90.0,0.03896203
2024-02-01,20.75,91.0,0.04241342
2024-02-01,21.25,89.25,0.051054463
2024-02-01,20.0,89.0,0.040648095
2024-02-01,20.5,89.75,0.038998846
2024-02-01,20.5,88.0,0.043534435
2024-02-01,21.25,88.75,0.05578676
2024-02-01,21.25,90.0,0.06814232
2024-02-01,21.0,91.0,0.044200085
2024-02-01,21.75,90.75,0.22134389
2024-02-01,21.25,90.5,0.06368925
2024-02-01,20.0,90.25,0.0414123
2024-02-01,20.5,88.25,0.04136909
2024-02-01,21.25,88.5,0.055403885
2024-02-01,20.0,88.0,0.040659826
2024-02-01,21.0,89.75,0.046604548
2024-02-01,22.25,91.0,0.22102204
2024-02-01,21.25,88.0,0.05509952
2024-02-01,21.75,89.5,0.06260642
2024-02-01,20.5,88.5,0.040359117
2024-02-01,21.5,91.0,0.14368881
2024-02-01,21.25,90.25,0.073087916
2024-02-01,20.0,90.0,0.039933246
2024-02-01,20.75,89.75,0.039439313
2024-02-01,20.5,88.75,0.03977526
2024-02-01,21.0,88.5,0.051601473
2024-02-01,20.75,90.25,0.04072597
2024-02-01,20.5,89.0,0.039549347
2024-02-01,20.5,90.75,0.039788634
2024-02-01,20.0,89.75,0.039678734
2024-02-01,20.5,91.0,0.04029327
2024-02-01,20.25,87.0,0.06455848
2024-02-01,20.5,90.25,0.039166655
2024-02-01,20.75,88.0,0.043574426
2024-02-01,21.5,88.0,0.089570016
2024-02-01,20.75,89.0,0.040725444
2024-02-01,21.0,90.25,0.051306363
2024-02-01,20.0,87.5,0.04414676
2024-02-01,20.25,90.25,0.03857789
2024-02-01,22.0,90.75,0.22787431
2024-02-01,20.25,88.75,0.039557673
2024-02-01,21.0,87.75,0.040784337
2024-02-01,20.0,88.5,0.041359004
2024-02-01,20.75,88.75,0.04145337
2024-02-01,20.75,88.25,0.04268112
2024-02-01,20.75,87.75,0.044628453
2024-02-01,20.25,89.25,0.038997397
2024-02-01,20.25,88.0,0.04043388
2024-02-01,21.75,89.75,0.064831726
2024-02-01,20.0,88.25,0.04102992
2024-02-01,21.5,89.5,0.054368224
2024-02-01,20.25,87.5,0.047743984
2024-02-01,20.25,89.75,0.0385473
2024-02-01,22.0,91.0,0.23619767
2024-02-01,21.5,89.25,0.05026878
2024-02-01,20.75,88.5,0.041941606
2024-02-01,20.25,87.75,0.04416667
2024-02-01,21.25,87.25,0.03894717
2024-02-01,21.0,89.5,0.04691022
2024-02-01,21.5,89.75,0.056280233
2024-02-01,21.5,88.25,0.08805464
2024-02-01,22.25,90.75,0.21948412
2024-02-01,20.25,89.5,0.03872416
2024-02-01,20.25,90.0,0.038432565
2024-02-01,21.25,87.75,0.048685048
2024-02-01,21.0,89.25,0.048514497
2024-02-01,21.5,88.5,0.065514416
2024-02-01,21.0,88.0,0.049675673
2024-02-01,21.75,90.5,0.22254153
2024-02-01,21.5,88.75,0.06511479
2024-02-01,20.25,87.25,0.055649575
2024-02-01,21.5,89.0,0.056604244
2024-02-01,21.25,87.0,0.04101437
2024-02-01,21.0,87.5,0.03916546
2024-02-01,21.0,88.25,0.051171903
2024-02-01,22.5,90.75,0.13919184
2024-02-01,21.25,87.5,0.039858844
2024-02-01,20.75,90.5,0.042168513
2024-02-01,20.25,90.5,0.03921156
2024-02-01,21.5,87.75,0.07493279
2024-02-01,21.5,90.0,0.059745323
2024-02-01,20.25,90.75,0.04066623
2024-02-01,20.25,88.25,0.03982103
2024-02-01,20.25,89.0,0.039280005
2024-03-01,20.75,88.75,0.050185807
2024-03-01,20.0,90.0,0.03815237
2024-03-01,21.75,89.75,0.061631113
2024-03-01,20.5,89.5,0.040642858
2024-03-01,20.0,88.5,0.045228887
2024-03-01,21.25,90.25,0.07176461
2024-03-01,20.75,90.0,0.045201313
2024-03-01,20.5,88.5,0.048886407
2024-03-01,21.0,89.75,0.05245312
2024-03-01,20.0,87.5,0.062412996
2024-03-01,21.25,87.25,0.040128175
2024-03-01,21.5,91.0,0.14182058
2024-03-01,20.75,90.25,0.04812396
2024-03-01,20.25,87.75,0.06194344
2024-03-01,20.5,90.5,0.044333443
2024-03-01,20.5,91.0,0.045042414
2024-03-01,20.0,89.25,0.04616712
2024-03-01,20.25,90.75,0.04162118
2024-03-01,22.5,90.75,0.129947
2024-03-01,20.0,88.75,0.045233354
2024-03-01,20.25,89.5,0.04040773
2024-03-01,21.5,89.5,0.05929685
2024-03-01,20.5,88.75,0.04630045
2024-03-01,21.5,88.5,0.056375522
2024-03-01,20.25,88.0,0.05656739
2024-03-01,20.5,89.25,0.04201054
2024-03-01,21.0,87.0,0.06203554
2024-03-01,21.25,88.75,0.0558662
2024-03-01,22.5,91.0,0.12985203
2024-03-01,20.25,89.25,0.04277975
2024-03-01,21.0,90.75,0.045041833
2024-03-01,21.75,89.5,0.059638266
2024-03-01,21.5,88.75,0.10226206
2024-03-01,21.0,88.0,0.06419663
2024-03-01,20.75,88.25,0.05473025
2024-03-01,21.0,87.75,0.04327105
2024-03-01,20.5,89.0,0.04427564
2024-03-01,20.5,89.75,0.03951319
2024-03-01,20.75,89.75,0.043687176
2024-03-01,20.0,89.75,0.040797196
2024-03-01,20.5,90.75,0.046717916
2024-03-01,21.0,89.25,0.055776067
2024-03-01,20.0,89.5,0.04468355
2024-03-01,21.25,87.5,0.038334183
2024-03-01,21.25,90.0,0.07057269
2024-03-01,20.25,88.75,0.04483485
2024-03-01,21.0,90.0,0.056532986
2024-03-01,20.25,89.0,0.04432475
2024-03-01,21.0,88.5,0.06278161
2024-03-01,21.5,89.25,0.05655338
2024-03-01,21.75,88.0,0.0666165
2024-03-01,21.75,90.25,0.16831823
2024-03-01,21.0,88.75,0.06097812
2024-03-01,21.75,87.75,0.06823132
2024-03-01,21.25,89.75,0.058031637
2024-03-01,20.75,90.5,0.051082015
2024-03-01,20.25,88.5,0.045524687
2024-03-01,20.5,88.25,0.05359589
2024-03-01,20.5,90.25,0.04118682
2024-03-01,20.75,88.5,0.051927596
2024-03-01,20.0,89.0,0.04599441
2024-03-01,21.0,91.0,0.04068172
2024-03-01,21.75,91.0,0.21236125
2024-03-01,21.5,87.75,0.05337879
2024-03-01,21.75,90.75,0.2047968
2024-03-01,20.5,87.0,0.08118158
2024-03-01,22.25,90.75,0.21471538
2024-03-01,20.0,90.75,0.038156644
2024-03-01,20.0,88.25,0.045225978
2024-03-01,20.5,87.25,0.079543635
2024-03-01,20.75,87.75,0.05730017
2024-03-01,21.25,89.25,0.057675947
2024-03-01,20.75,87.25,0.07665715
2024-03-01,21.25,91.0,0.05342348
2024-03-01,20.0,87.0,0.08008282
2024-03-01,20.75,91.0,0.042404696
2024-03-01,20.25,87.25,0.081200324
2024-03-01,20.25,90.5,0.03927617
2024-03-01,20.25,87.0,0.09091001
2024-03-01,21.0,88.25,0.06426434
2024-03-01,21.25,88.0,0.0473348
2024-03-01,21.5,87.5,0.047488566
2024-03-01,21.25,87.0,0.04150252
2024-03-01,21.5,90.0,0.050454725
2024-03-01,21.5,90.25,0.0745759
2024-03-01,20.0,91.0,0.038830455
2024-03-01,20.25,91.0,0.04210786
2024-03-01,22.0,91.0,0.22044864
2024-03-01,21.0,87.5,0.0430343
2024-03-01,21.0,89.5,0.05316927
2024-03-01,20.75,89.25,0.0459394
2024-03-01,20.0,87.75,0.05661192
2024-03-01,22.0,90.75,0.21382092
2024-03-01,21.5,87.25,0.047032997
2024-03-01,20.75,87.5,0.05525152
2024-03-01,21.25,88.5,0.0472088
2024-03-01,20.25,90.25,0.03724114
2024-03-01,21.75,90.0,0.071960576
2024-03-01,22.0,90.5,0.18080024
2024-03-01,20.25,87.5,0.06945469
2024-03-01,21.0,90.5,0.057227988
2024-03-01,21.75,90.5,0.19591145
2024-03-01,21.5,90.75,0.1467964
2024-03-01,21.5,89.75,0.057531405
2024-03-01,20.5,88.0,0.058946088
2024-03-01,21.5,88.25,0.06679215
2024-03-01,20.0,87.25,0.06733727
2024-03-01,20.25,88.25,0.04949787
2024-03-01,20.75,88.0,0.057619594
2024-03-01,21.25,90.5,0.0646014
2024-03-01,21.5,89.0,0.07869672
2024-03-01,22.25,91.0,0.21525742
2024-03-01,20.0,88.0,0.047791578
2024-03-01,20.0,90.25,0.036859177
2024-03-01,20.25,89.75,0.03789779
2024-03-01,20.75,87.0,0.06645621
2024-03-01,21.5,90.5,0.19410495
2024-03-01,21.25,89.5,0.05677102
2024-03-01,20.0,90.5,0.037403338
2024-03-01,21.0,89.0,0.05927171
2024-03-01,20.5,90.0,0.039722998
2024-03-01,20.5,87.75,0.060171418
2024-03-01,21.25,87.75,0.04424768
2024-03-01,21.25,89.0,0.06474718
2024-03-01,20.75,89.5,0.044117395
2024-03-01,20.75,89.0,0.047891464
2024-03-01,21.25,90.75,0.051459137
2024-03-01,21.25,88.25,0.046472315
