time,latitude,longitude,fe
2021-12-01,20.0,88.5,0.0010319577
2021-12-01,21.75,90.5,0.0069043203
2021-12-01,20.0,87.75,0.0009422147
2021-12-01,21.75,88.0,0.006406533
2022-01-01,20.5,91.0,0.0008796812
2022-01-01,20.25,87.0,0.0018643423
2022-01-01,20.75,88.75,0.00077833777
2022-01-01,21.5,88.25,0.0049001775
2022-01-01,22.25,90.75,0.009106745
2022-01-01,21.5,89.75,0.0027612096
2022-01-01,21.0,90.75,0.002237483
2022-01-01,20.75,87.75,0.0021681704
2022-01-01,21.5,87.5,0.005380256
2022-01-01,21.25,89.75,0.0014540529
2022-01-01,20.0,87.5,0.0008213881
2022-01-01,20.0,90.5,0.00086149113
2022-01-01,20.5,90.25,0.0007044528
2022-01-01,21.25,89.5,0.0010940399
2022-01-01,22.5,90.75,0.0052590347
2022-01-01,20.25,90.75,0.00088052603
2022-01-01,20.5,87.5,0.0012643377
2022-01-01,20.25,90.5,0.0008106659
2022-01-01,20.0,89.25,0.0006740626
2022-01-01,21.75,90.25,0.005692464
2022-01-01,20.75,89.0,0.0006827727
2022-01-01,20.5,89.0,0.00063347514
2022-01-01,21.5,88.75,0.0034891579
2022-01-01,20.25,87.25,0.0011253752
2022-01-01,20.0,88.5,0.0006664927
2022-01-01,21.0,88.0,0.0032330113
2022-01-01,21.5,90.0,0.0034363042
2022-01-01,21.0,91.0,0.002513236
2022-01-01,21.0,88.75,0.00146948
2022-01-01,21.25,90.0,0.0031259526
2022-01-01,21.75,90.0,0.004726014
2022-01-01,21.75,88.0,0.0068104574
2022-01-01,20.5,88.0,0.0007802297
2022-01-01,20.25,89.5,0.0006718178
2022-01-01,21.0,90.0,0.00097218336
2022-01-01,21.25,90.75,0.0035585796
2022-01-01,20.75,88.0,0.0014403991
2022-01-01,21.5,89.25,0.0030911395
2022-01-01,20.25,90.25,0.0007465196
2022-01-01,20.5,88.75,0.00064454146
2022-01-01,21.0,89.0,0.0009796994
2022-01-01,20.75,88.25,0.0010982868
2022-01-01,21.0,90.25,0.0012927612
2022-01-01,20.5,90.75,0.00081330125
2022-01-01,21.0,87.0,0.0039197807
2022-01-01,21.25,91.0,0.0037226926
2022-01-01,20.0,90.75,0.0009192177
2022-01-01,20.75,91.0,0.0011848256
2022-01-01,21.0,87.75,0.0034987107
2022-01-01,20.0,89.75,0.00071020384
2022-01-01,21.5,87.25,0.0057767616
2022-01-01,21.0,89.25,0.00077328295
2022-01-01,21.0,90.5,0.0017741807
2022-01-01,21.5,89.5,0.0025614523
2022-01-01,20.5,90.5,0.0007345854
2022-01-01,22.0,90.75,0.008864996
2022-01-01,21.25,90.25,0.0038941943
2022-01-01,20.25,89.0,0.0006316238
2022-01-01,20.25,88.75,0.00063570007
2022-01-01,20.0,87.25,0.00096533034
2022-01-01,20.75,88.5,0.00092200533
2022-01-01,20.0,89.5,0.0006915285
2022-01-01,20.0,87.75,0.00074358354
2022-01-01,20.0,91.0,0.00095616153
2022-01-01,22.0,91.0,0.008271531
2022-01-01,20.5,87.75,0.0010233772
2022-01-01,21.25,90.5,0.0034003644
2022-01-01,20.75,90.75,0.0010082298
2022-01-01,21.75,91.0,0.006418187
2022-01-01,21.5,89.0,0.003011969
2022-01-01,21.75,87.75,0.007961311
2022-01-01,21.5,90.5,0.0055052186
2022-01-01,21.25,88.5,0.0034009959
2022-01-01,22.0,90.5,0.008633703
2022-01-01,20.75,89.75,0.0006704754
2022-01-01,20.25,88.25,0.0006835901
2022-01-01,20.0,90.25,0.0008056521
2022-01-01,20.25,87.75,0.00080034125
2022-01-01,20.75,87.5,0.0022196025
2022-01-01,20.5,89.75,0.0006796758
2022-01-01,20.0,87.0,0.0012418445
2022-01-01,20.25,91.0,0.00091175485
2022-01-01,20.5,88.5,0.0006717146
2022-01-01,21.75,90.75,0.006793157
2022-01-01,21.5,90.75,0.0053817905
2022-01-01,21.25,87.25,0.0034823832
2022-01-01,20.25,88.0,0.00072582916
2022-01-01,21.5,88.0,0.0054501346
2022-01-01,21.25,88.25,0.003941626
2022-01-01,20.25,90.0,0.0007098777
2022-01-01,20.5,89.25,0.0006542286
2022-01-01,21.0,88.25,0.002655709
2022-01-01,20.0,90.0,0.00074586645
2022-01-01,20.5,87.0,0.0030507147
2022-01-01,21.0,89.5,0.00069001666
2022-01-01,20.25,89.25,0.0006509382
2022-01-01,21.25,88.0,0.0042100702
2022-01-01,20.0,88.75,0.000667333
2022-01-01,20.75,87.25,0.0021833065
2022-01-01,20.0,88.0,0.0006740418
2022-01-01,21.25,87.0,0.005006113
2022-01-01,21.75,90.5,0.006759255
2022-01-01,20.5,89.5,0.00066792493
2022-01-01,21.25,89.25,0.0014454924
2022-01-01,21.75,89.5,0.0060586617
2022-01-01,20.75,89.25,0.00064934214
2022-01-01,20.25,89.75,0.00068755966
2022-01-01,22.25,91.0,0.009099284
2022-01-01,20.5,88.25,0.00071121776
2022-01-01,21.5,87.75,0.005195881
2022-01-01,21.5,90.25,0.004589172
2022-01-01,20.25,88.5,0.00065621594
2022-01-01,21.25,87.5,0.0035826783
2022-01-01,21.25,89.0,0.0015284487
2022-01-01,20.75,87.0,0.0039806403
2022-01-01,20.75,90.25,0.0007135293
2022-01-01,20.25,87.5,0.00093225396
2022-01-01,21.0,88.5,0.0020179849
2022-01-01,20.5,90.0,0.0006901503
2022-01-01,21.0,89.75,0.000730771
2022-01-01,20.0,88.25,0.0006582116
2022-01-01,21.5,88.5,0.0055245655
2022-01-01,20.75,90.5,0.00081514526
2022-01-01,21.0,87.25,0.0025829137
2022-01-01,21.25,88.75,0.002612992
2022-01-01,21.75,89.75,0.0054876553
2022-01-01,21.0,87.5,0.0027524724
2022-01-01,20.0,89.0,0.0006665323
2022-01-01,21.25,87.75,0.004090941
2022-01-01,20.75,89.5,0.00065641396
2022-01-01,22.5,91.0,0.0053722286
2022-01-01,20.5,87.25,0.0015236582
2022-01-01,21.5,91.0,0.0053187716
2022-01-01,20.75,90.0,0.0006854984
2022-02-01,20.25,89.25,0.00071435154
2022-02-01,21.25,91.0,0.0033849108
2022-02-01,20.75,88.0,0.0015249627
2022-02-01,20.75,87.5,0.0016901094
2022-02-01,21.75,89.75,0.005523063
2022-02-01,21.5,87.75,0.004978295
2022-02-01,20.5,88.25,0.0011256554
2022-02-01,21.0,89.75,0.0011612443
2022-02-01,20.25,90.5,0.0006967777
2022-02-01,21.5,87.5,0.0053611854
2022-02-01,20.75,87.75,0.0017217817
2022-02-01,21.0,90.0,0.0013038947
2022-02-01,21.0,87.25,0.0027586315
2022-02-01,20.0,90.5,0.00064470415
2022-02-01,20.25,89.0,0.0007612581
2022-02-01,20.75,87.25,0.0024643806
2022-02-01,20.5,88.0,0.0012363795
2022-02-01,21.5,87.25,0.00583185
2022-02-01,21.5,88.0,0.005434173
2022-02-01,20.0,90.25,0.00062246394
2022-02-01,21.0,89.5,0.0012630001
2022-02-01,20.25,87.0,0.0022241499
2022-02-01,21.0,87.0,0.004552934
2022-02-01,21.25,89.0,0.0026840535
2022-02-01,21.75,89.5,0.006064626
2022-02-01,21.0,91.0,0.0020492207
2022-02-01,20.25,87.5,0.0014229397
2022-02-01,20.5,87.25,0.0019300592
2022-02-01,21.25,88.75,0.0031120256
2022-02-01,20.75,90.5,0.0009065875
2022-02-01,20.75,89.5,0.0008933547
2022-02-01,21.25,87.0,0.0052751945
2022-02-01,21.25,88.5,0.0031038283
2022-02-01,20.75,89.75,0.0008658353
2022-02-01,22.0,90.5,0.007972615
2022-02-01,20.25,88.5,0.0009030336
2022-02-01,20.25,87.75,0.0012243917
2022-02-01,21.25,88.25,0.0038721873
2022-02-01,21.25,87.25,0.003685971
2022-02-01,20.5,87.0,0.003248559
2022-02-01,20.25,91.0,0.0005658385
2022-02-01,21.25,88.0,0.0040414515
2022-02-01,22.5,91.0,0.0058885934
2022-02-01,20.75,90.0,0.00087334093
2022-02-01,20.25,88.25,0.000983646
2022-02-01,20.25,88.0,0.0010826371
2022-02-01,21.25,87.75,0.0037878058
2022-02-01,20.0,88.0,0.0008246594
2022-02-01,20.75,90.25,0.0008687666
2022-02-01,20.0,88.25,0.00073747436
2022-02-01,20.0,90.75,0.0006056388
2022-02-01,20.75,89.25,0.0009603281
2022-02-01,22.0,91.0,0.008134455
2022-02-01,20.75,88.25,0.0013775576
2022-02-01,21.0,90.25,0.0014572472
2022-02-01,21.25,90.75,0.0031858813
2022-02-01,21.75,88.0,0.007032252
2022-02-01,22.0,90.75,0.008405217
2022-02-01,20.75,91.0,0.0010365136
2022-02-01,21.25,90.5,0.0030066702
2022-02-01,20.5,87.75,0.0014046052
2022-02-01,20.0,91.0,0.00055277935
2022-02-01,22.25,90.75,0.009740353
2022-02-01,20.25,88.75,0.00082662574
2022-02-01,21.25,90.25,0.0034088183
2022-02-01,21.25,89.25,0.0022883948
2022-02-01,20.75,88.5,0.0012751609
2022-02-01,21.25,90.0,0.0029365632
2022-02-01,20.0,87.5,0.0011325615
2022-02-01,20.75,88.75,0.0011770268
2022-02-01,20.25,90.75,0.0006414026
2022-02-01,21.0,90.75,0.0018524985
2022-02-01,21.25,89.75,0.0018201808
2022-02-01,20.5,87.5,0.0016000144
2022-02-01,21.25,89.5,0.0018319972
2022-02-01,21.75,90.25,0.005520418
2022-02-01,20.75,89.0,0.0010600999
2022-02-01,20.25,87.25,0.0017118066
2022-02-01,20.75,90.75,0.00096870435
2022-02-01,21.0,90.5,0.0016462003
2022-02-01,21.5,88.25,0.0050409315
2022-02-01,21.25,87.5,0.0033157025
2022-02-01,20.25,89.5,0.0006746295
2022-02-01,21.0,87.75,0.002664814
2022-02-01,21.0,87.5,0.002042488
2022-02-01,21.0,89.0,0.0018385176
2022-02-01,20.5,89.75,0.0007622637
2022-02-01,20.0,89.75,0.00053729734
2022-02-01,22.5,90.75,0.0062169814
2022-02-01,21.5,89.75,0.0029213224
2022-02-01,21.5,90.5,0.005026121
2022-02-01,21.5,89.0,0.0039889454
2022-02-01,21.75,87.75,0.008092015
2022-02-01,21.0,88.5,0.0022655954
2022-02-01,21.5,88.75,0.004776727
2022-02-01,20.0,87.0,0.0017935702
2022-02-01,20.25,90.0,0.00067503506
2022-02-01,21.0,88.75,0.002144422
2022-02-01,21.0,89.25,0.0015052182
2022-02-01,20.5,91.0,0.00064134586
2022-02-01,20.5,90.25,0.00074867404
2022-02-01,20.5,90.0,0.0007523846
2022-02-01,21.75,90.5,0.0060976255
2022-02-01,20.0,89.25,0.00054912263
2022-02-01,20.5,90.75,0.0006888105
2022-02-01,21.5,90.25,0.004273853
2022-02-01,20.5,89.0,0.0009112657
2022-02-01,20.25,89.75,0.00065755326
2022-02-01,21.0,88.0,0.002821376
2022-02-01,22.25,91.0,0.009605385
2022-02-01,20.0,88.5,0.00066647667
2022-02-01,20.0,89.0,0.0005631303
2022-02-01,21.75,90.75,0.006296924
2022-02-01,21.5,90.0,0.0032225035
2022-02-01,21.75,91.0,0.006180085
2022-02-01,20.0,88.75,0.0006058496
2022-02-01,20.5,90.5,0.0007367412
2022-02-01,21.5,89.25,0.0035049436
2022-02-01,20.0,89.5,0.00054740516
2022-02-01,20.5,89.5,0.00079570815
2022-02-01,21.5,91.0,0.005067122
2022-02-01,20.0,87.75,0.0009472509
2022-02-01,20.5,88.5,0.0010433547
2022-02-01,20.0,90.0,0.00056419853
2022-02-01,21.5,88.5,0.0052697845
2022-02-01,20.75,87.0,0.004922245
2022-02-01,21.0,88.25,0.0025367383
2022-02-01,20.5,89.25,0.00085149694
2022-02-01,20.0,87.25,0.0013996215
2022-02-01,20.25,90.25,0.000694878
2022-02-01,21.75,90.0,0.004830877
2022-02-01,21.5,90.75,0.0051739505
2022-02-01,21.5,89.5,0.003040909
2022-02-01,20.5,88.75,0.0009739668
2022-03-01,20.75,90.75,0.0017106909
2022-03-01,21.25,89.5,0.0022837024
2022-03-01,20.0,87.25,0.0013486285
2022-03-01,20.0,87.0,0.001677873
2022-03-01,20.75,89.0,0.0013954178
2022-03-01,20.5,89.0,0.0011750272
2022-03-01,20.0,91.0,0.00096985657
2022-03-01,20.0,89.5,0.00092214806
2022-03-01,20.25,89.5,0.0009948106
2022-03-01,20.0,89.25,0.00095562264
2022-03-01,20.25,88.75,0.0010488553
2022-03-01,21.0,88.75,0.0025449062
2022-03-01,20.5,87.5,0.0014066619
2022-03-01,21.25,90.0,0.0035791046
2022-03-01,20.0,87.5,0.0012051917
2022-03-01,21.0,90.5,0.0023256182
2022-03-01,21.0,87.75,0.0024617515
2022-03-01,21.5,89.5,0.003173534
2022-03-01,20.5,90.25,0.0010921736
2022-03-01,20.25,87.0,0.0021415134
2022-03-01,20.25,90.75,0.0011833278
2022-03-01,20.75,88.5,0.001621109
2022-03-01,20.75,88.75,0.0015883432
2022-03-01,21.5,89.75,0.0028847756
2022-03-01,21.0,90.75,0.0024725015
