time,latitude,longitude,uo
2022-06-01,20.42,88.33,0.12963346
2022-06-01,21.5,89.58,0.008708763
2022-06-01,21.5,89.83,-0.024912205
2022-06-01,20.42,88.42,0.124820866
2022-06-01,20.92,89.25,0.06431551
2022-06-01,20.08,89.42,0.21522169
2022-06-01,21.5,90.0,-0.00554681
2022-06-01,20.92,89.17,0.0472009
2022-06-01,20.42,88.5,0.121670805
2022-06-01,21.5,90.08,0.0010136564
2022-06-01,20.92,89.08,0.042673215
2022-06-01,20.92,89.0,0.04006289
2022-06-01,20.08,89.33,0.2397633
2022-06-01,20.42,88.58,0.123289354
2022-06-01,20.92,89.33,0.08313612
2022-06-01,20.92,89.75,0.09045909
2022-06-01,21.5,89.5,0.035366032
2022-06-01,20.92,89.83,0.0657459
2022-06-01,22.5,90.92,0.007533128
2022-06-01,20.42,87.75,0.0135623375
2022-06-01,20.92,90.5,-0.0063870014
2022-06-01,20.08,89.92,0.035497762
2022-06-01,21.5,89.0,0.052438598
2022-06-01,20.92,90.42,-0.009964839
2022-06-01,20.42,87.83,0.03874159
2022-06-01,21.5,89.08,0.02268837
2022-06-01,20.92,90.33,-0.01301162
2022-06-01,20.92,90.25,-0.015684485
2022-06-01,20.08,89.83,0.05607273
2022-06-01,21.5,89.17,0.030318353
2022-06-01,20.42,87.92,0.07403195
2022-06-01,21.5,89.25,0.038912777
2022-06-01,20.92,90.17,-0.014565661
2022-06-01,20.92,90.08,-0.0053520515
2022-06-01,20.42,88.0,0.10884043
2022-06-01,20.08,89.75,0.08644538
2022-06-01,21.5,89.33,0.0386667
2022-06-01,20.92,90.0,0.012108999
2022-06-01,22.25,90.83,-0.0033555813
2022-06-01,21.5,89.42,0.032420956
2022-06-01,20.92,89.92,0.037222587
2022-06-01,20.42,88.08,0.13208018
2022-06-01,20.08,89.67,0.12453899
2022-06-01,20.92,88.92,0.03935154
2022-06-01,21.5,87.67,0.048160277
2022-06-01,21.58,89.0,0.010219162
2022-06-01,20.42,90.42,0.094760984
2022-06-01,20.75,89.25,0.104524925
2022-06-01,22.0,90.67,-0.010891849
2022-06-01,21.67,89.25,0.023152042
2022-06-01,20.75,89.17,0.10735956
2022-06-01,20.5,88.67,0.116587274
2022-06-01,20.0,90.25,-0.0039787106
2022-06-01,20.75,89.08,0.10879512
2022-06-01,21.67,89.33,0.02701873
2022-06-01,20.75,89.0,0.11754695
2022-06-01,20.5,88.75,0.105748616
2022-06-01,21.67,89.42,0.02563554
2022-06-01,21.67,89.17,0.016283497
2022-06-01,20.75,88.92,0.13375439
2022-06-01,21.67,89.5,0.022110833
2022-06-01,20.75,88.83,0.14198261
2022-06-01,20.5,88.83,0.09842891
2022-06-01,21.67,89.58,0.013957719
2022-06-01,20.75,88.75,0.11967633
2022-06-01,20.75,88.67,0.083784856
2022-06-01,20.5,88.92,0.09612746
2022-06-01,20.0,90.08,0.023960669
2022-06-01,21.67,89.67,0.006179316
2022-06-01,21.67,89.75,0.0042591128
2022-06-01,20.75,88.58,0.0659823
2022-06-01,20.0,90.17,0.00604535
2022-06-01,20.75,88.5,0.06979239
2022-06-01,20.0,90.33,-0.01256498
2022-06-01,20.75,89.33,0.09178229
2022-06-01,22.33,90.83,0.020468673
2022-06-01,21.67,88.0,0.021589534
2022-06-01,20.5,88.17,0.105555385
2022-06-01,20.75,90.0,0.070057176
2022-06-01,21.67,88.08,0.021680122
2022-06-01,20.75,89.92,0.092257686
2022-06-01,20.5,88.25,0.10456857
2022-06-01,20.0,90.58,-0.068264104
2022-06-01,21.67,88.17,0.042142745
2022-06-01,20.75,89.83,0.100688845
2022-06-01,20.75,89.75,0.096009925
2022-06-01,20.5,88.58,0.120515235
2022-06-01,21.67,88.67,0.05639241
2022-06-01,20.0,90.5,-0.04107319
2022-06-01,20.75,89.67,0.08190163
2022-06-01,21.67,88.83,0.07289969
2022-06-01,20.75,89.58,0.06583991
2022-06-01,20.5,88.42,0.111197405
2022-06-01,21.67,88.92,0.048539344
2022-06-01,20.75,89.5,0.06344481
2022-06-01,20.0,90.42,-0.022202203
2022-06-01,20.5,88.5,0.1168193
2022-06-01,21.67,89.08,0.012899554
2022-06-01,20.75,89.42,0.07508928
2022-06-01,20.5,88.33,0.10608559
2022-06-01,22.42,91.0,0.005100617
2022-06-01,20.5,89.0,0.08802773
2022-06-01,20.0,90.0,0.054348625
2022-06-01,20.75,87.5,0.13793251
2022-06-01,20.5,89.5,-0.0013710433
2022-06-01,21.67,90.58,0.01028156
2022-06-01,20.75,87.42,0.1209598
2022-06-01,22.33,90.92,0.020443572
2022-06-01,20.0,89.58,0.23542784
2022-06-01,20.5,89.58,-0.006406824
2022-06-01,21.67,90.67,0.0125445165
2022-06-01,20.75,87.33,0.11126057
2022-06-01,21.67,90.75,0.014070814
2022-06-01,20.75,87.25,0.10082724
2022-06-01,21.67,90.5,0.00715596
2022-06-01,20.5,89.67,0.0006334995
2022-06-01,22.67,90.92,-0.012328837
2022-06-01,21.67,90.83,0.01671497
2022-06-01,20.75,87.17,0.08420898
2022-06-01,21.67,90.92,0.02066513
2022-06-01,20.75,87.08,0.06561001
2022-06-01,20.5,89.75,0.015237731
2022-06-01,20.0,89.42,0.2910987
2022-06-01,20.75,87.0,0.055215303
2022-06-01,21.67,91.0,0.023108128
2022-06-01,20.67,91.0,0.055950988
2022-06-01,20.5,89.83,0.0244981
2022-06-01,20.0,89.5,0.26511446
2022-06-01,20.0,89.67,0.20046923
2022-06-01,20.75,87.58,0.15033123
2022-06-01,20.5,89.42,0.00618724
2022-06-01,21.67,89.83,0.0013561517
2022-06-01,20.75,88.42,0.08897869
2022-06-01,21.67,89.92,-0.005842967
2022-06-01,20.75,88.33,0.108411506
2022-06-01,20.5,89.08,0.06880961
2022-06-01,20.75,88.25,0.10846288
2022-06-01,20.0,89.92,0.08783428
2022-06-01,21.67,90.0,-0.008938604
2022-06-01,20.75,88.17,0.09840093
2022-06-01,20.5,89.17,0.04765677
2022-06-01,21.67,90.08,-0.0055291806
2022-06-01,20.75,88.08,0.10421763
2022-06-01,20.75,88.0,0.12500344
2022-06-01,20.0,89.83,0.12308845
2022-06-01,20.5,89.25,0.030874463
2022-06-01,21.67,90.17,0.0010338735
2022-06-01,21.67,90.25,0.0048852237
2022-06-01,20.75,87.92,0.14299338
2022-06-01,20.75,87.83,0.15463167
2022-06-01,20.5,89.33,0.017062284
2022-06-01,20.0,89.75,0.16222167
2022-06-01,21.67,90.33,0.005268364
2022-06-01,20.75,87.75,0.15715235
2022-06-01,21.67,90.42,0.005394722
2022-06-01,20.75,87.67,0.15394457
2022-06-01,20.0,90.67,-0.088846795
2022-06-01,22.5,90.83,0.026508199
2022-06-01,20.75,90.08,0.04361886
2022-06-01,21.67,87.92,0.02989891
2022-06-01,22.25,91.0,0.010990497
2022-06-01,20.08,87.58,0.81677455
2022-06-01,20.83,88.58,0.045269962
2022-06-01,20.42,90.92,0.07404641
2022-06-01,21.58,89.67,0.001620402
2022-06-01,20.83,88.5,0.03185033
2022-06-01,21.58,89.75,-0.0034416905
2022-06-01,20.83,88.42,0.03292985
2022-06-01,20.08,87.5,0.80113846
2022-06-01,20.42,91.0,0.07212075
2022-06-01,21.58,89.83,-0.010871889
2022-06-01,20.83,88.67,0.077087834
2022-06-01,20.83,88.33,0.046899915
2022-06-01,20.83,88.25,0.058420055
2022-06-01,20.5,87.0,0.111716285
2022-06-01,20.08,87.42,0.7601951
2022-06-01,20.83,88.17,0.056799274
2022-06-01,21.58,90.0,-0.009194782
2022-06-01,20.83,88.08,0.05784628
2022-06-01,20.5,87.08,0.11931398
2022-06-01,20.83,88.0,0.06577509
2022-06-01,20.08,87.33,0.7063892
2022-06-01,21.58,90.08,-0.002857519
2022-06-01,20.83,87.92,0.07213082
2022-06-01,21.58,89.92,-0.013931316
2022-06-01,20.5,87.17,0.12655805
2022-06-01,21.58,89.58,0.011829753
2022-06-01,20.42,90.83,0.08036007
2022-06-01,20.08,87.92,0.8162332
2022-06-01,20.83,89.5,0.08141095
2022-06-01,20.83,89.42,0.08758188
2022-06-01,21.58,89.08,0.006036638
2022-06-01,20.42,90.5,0.104581945
2022-06-01,20.83,89.33,0.09339316
2022-06-01,20.83,89.25,0.08846976
2022-06-01,20.08,87.83,0.81343645
