time,latitude,longitude,ph
2022-06-01,20.0,88.5,8.030235
2022-06-01,21.75,90.5,8.20716
2022-06-01,21.5,89.25,8.036512
2022-06-01,20.0,89.5,8.036518
2022-06-01,20.25,89.5,8.040502
2022-06-01,22.5,91.0,8.189124
2022-06-01,21.75,89.75,8.08607
2022-06-01,20.5,90.5,8.063533
2022-06-01,21.5,89.5,8.057136
2022-06-01,21.0,88.75,8.028336
2022-06-01,20.5,90.25,8.057025
2022-06-01,20.5,88.75,8.033886
2022-06-01,22.0,90.75,8.318917
2022-06-01,20.0,90.5,8.042482
2022-06-01,20.5,88.25,8.02659
2022-06-01,21.25,89.75,8.047315
2022-06-01,20.25,87.75,8.027518
2022-06-01,20.75,89.75,8.050586
2022-06-01,20.25,90.75,8.0476675
2022-06-01,20.75,88.75,8.029815
2022-06-01,20.25,87.0,8.027041
2022-06-01,21.0,90.5,8.086139
2022-06-01,21.25,87.0,8.018392
2022-06-01,21.75,88.0,8.030631
2022-06-01,20.75,88.5,8.024505
2022-06-01,20.0,88.0,8.030854
2022-06-01,21.25,90.25,8.039814
2022-06-01,20.0,91.0,8.037526
2022-06-01,20.25,88.75,8.03246
2022-06-01,20.0,87.5,8.029644
2022-06-01,21.25,88.75,8.036411
2022-06-01,21.25,90.0,8.008235
2022-06-01,20.5,87.75,8.020777
2022-06-01,21.25,88.25,8.024045
2022-06-01,20.5,87.5,8.023385
2022-06-01,21.0,91.0,8.092074
2022-06-01,20.75,90.5,8.072178
2022-06-01,20.25,87.5,8.026988
2022-06-01,21.25,89.0,8.035773
2022-06-01,20.75,89.25,8.036251
2022-06-01,20.25,88.5,8.03055
2022-06-01,21.25,89.25,8.040891
2022-06-01,21.25,88.5,8.029017
2022-06-01,21.75,89.5,8.054959
2022-06-01,20.25,87.25,8.02772
2022-06-01,20.0,87.75,8.030442
2022-06-01,21.0,88.0,8.02063
2022-06-01,21.25,89.5,8.047812
2022-06-01,20.75,90.75,8.072556
2022-06-01,20.75,89.5,8.043563
2022-06-01,21.0,90.75,8.08974
2022-06-01,20.75,89.0,8.032728
2022-06-01,20.5,87.0,8.023585
2022-06-01,21.25,90.5,8.125403
2022-06-01,20.5,87.25,8.026016
2022-06-01,20.25,89.0,8.034052
2022-06-01,20.75,87.75,8.018596
2022-06-01,21.25,87.25,8.016027
2022-06-01,20.75,90.0,8.052559
2022-06-01,20.5,88.0,8.022384
2022-06-01,20.25,91.0,8.045227
