time,latitude,longitude,vo
2022-06-01,20.75,87.0,0.064521
2022-06-01,21.67,91.0,-0.0063509797
2022-06-01,20.67,91.0,-0.01165769
2022-06-01,20.5,89.83,-0.034238808
2022-06-01,20.0,89.5,-0.09599653
2022-06-01,20.0,89.67,-0.07199694
2022-06-01,20.75,87.58,0.052455366
2022-06-01,20.5,89.42,-0.00349497
2022-06-01,21.67,89.83,0.0075372453
2022-06-01,20.75,88.42,0.030777924
2022-06-01,21.67,89.92,0.009605034
2022-06-01,20.75,88.33,0.047609508
2022-06-01,20.5,89.08,0.0051654205
2022-06-01,20.75,88.25,0.038317904
2022-06-01,20.0,89.92,-0.038786538
2022-06-01,21.67,90.0,0.0029375048
2022-06-01,20.75,88.17,0.03273677
2022-06-01,20.5,89.17,-0.0019298322
2022-06-01,21.67,90.08,0.0010770474
2022-06-01,20.75,88.08,0.012986641
2022-06-01,20.75,88.0,-0.0072231046
2022-06-01,20.0,89.83,-0.051199697
2022-06-01,20.5,89.25,-0.013277678
2022-06-01,21.67,90.17,0.007278539
2022-06-01,21.67,90.25,0.010416732
2022-06-01,20.75,87.92,-0.021498682
2022-06-01,20.75,87.83,-0.015194275
2022-06-01,20.5,89.33,-0.011783668
2022-06-01,20.0,89.75,-0.060669668
2022-06-01,21.67,90.33,0.0038779427
2022-06-01,20.75,87.75,-0.006174263
2022-06-01,21.67,90.42,-0.0017025545
2022-06-01,20.75,87.67,0.015220284
2022-06-01,20.0,90.67,-0.032626253
2022-06-01,22.5,90.83,-0.022724831
2022-06-01,20.75,90.08,-0.033171922
2022-06-01,21.67,87.92,0.04484481
2022-06-01,22.25,91.0,-0.02941821
2022-06-01,20.08,87.58,0.1288207
2022-06-01,20.83,88.58,0.037719335
2022-06-01,20.42,90.92,0.00036895202
2022-06-01,21.58,89.67,-0.004836633
2022-06-01,20.83,88.5,0.039682582
2022-06-01,21.58,89.75,-0.0042961794
2022-06-01,20.83,88.42,0.042801257
2022-06-01,20.08,87.5,0.16366075
2022-06-01,20.42,91.0,-0.0060697105
2022-06-01,21.58,89.83,-0.0021104268
2022-06-01,20.83,88.67,0.02622875
2022-06-01,20.83,88.33,0.02870546
2022-06-01,20.83,88.25,0.012536008
2022-06-01,20.5,87.0,0.12394626
2022-06-01,20.08,87.42,0.18963973
2022-06-01,20.83,88.17,0.011037116
2022-06-01,21.58,90.0,0.0061244247
2022-06-01,20.83,88.08,0.015481898
2022-06-01,20.5,87.08,0.1271918
2022-06-01,20.83,88.0,0.0025150864
2022-06-01,20.08,87.33,0.20506756
2022-06-01,21.58,90.08,0.008672675
2022-06-01,20.83,87.92,-0.015502688
2022-06-01,21.58,89.92,0.004354191
2022-06-01,20.5,87.17,0.106057495
2022-06-01,21.58,89.58,-0.01171366
2022-06-01,20.42,90.83,0.010541762
2022-06-01,20.08,87.92,0.07199262
2022-06-01,20.83,89.5,0.03638645
2022-06-01,20.83,89.42,0.07207579
2022-06-01,21.58,89.08,0.004531362
2022-06-01,20.42,90.5,0.03916611
2022-06-01,20.83,89.33,0.108054124
2022-06-01,20.83,89.25,0.10653544
2022-06-01,20.08,87.83,0.08152861
2022-06-01,21.58,89.17,0.025666473
2022-06-01,20.42,90.58,0.042125966
2022-06-01,21.58,89.25,0.025225516
2022-06-01,22.0,90.75,-0.007277991
2022-06-01,20.83,89.17,0.051755708
2022-06-01,20.42,90.67,0.037830267
2022-06-01,20.08,87.75,0.0870109
2022-06-01,21.58,89.33,0.020442754
2022-06-01,20.83,89.0,-0.009407594
2022-06-01,20.83,88.92,-0.034209978
2022-06-01,21.58,89.42,0.008824623
2022-06-01,20.42,90.75,0.02429199
2022-06-01,20.08,87.67,0.10203515
2022-06-01,20.83,88.83,-0.05068056
2022-06-01,21.58,89.5,-0.003892549
2022-06-01,20.83,88.75,-0.014055473
2022-06-01,20.83,89.08,0.014508084
2022-06-01,21.58,90.17,0.009640436
2022-06-01,20.83,87.83,-0.016929535
2022-06-01,20.5,87.25,0.14911127
2022-06-01,21.58,90.92,-0.004564526
2022-06-01,20.75,90.92,-0.020520527
2022-06-01,21.58,91.0,-0.009142101
2022-06-01,20.5,87.75,0.007514325
2022-06-01,20.75,90.83,-0.009483849
2022-06-01,20.75,90.75,-0.0014044425
2022-06-01,20.0,90.92,0.007965652
2022-06-01,21.67,87.5,0.020542832
2022-06-01,20.5,87.83,-0.033380304
2022-06-01,21.67,87.58,0.021206971
2022-06-01,20.75,90.67,0.0024762254
2022-06-01,20.0,91.0,0.016673975
2022-06-01,20.75,90.58,0.00910405
2022-06-01,20.0,90.83,-0.0041966783
