time,latitude,longitude,po4
2022-01-01,20.0,89.25,0.0043643205
2022-01-01,21.75,90.25,0.012869483
2022-01-01,20.75,89.0,0.004569811
2022-01-01,20.5,89.0,0.011682263
2022-01-01,21.5,88.75,0.010674639
2022-01-01,20.25,87.25,0.004832575
2022-01-01,20.0,88.5,0.006079822
2022-01-01,21.0,88.0,0.0020345603
2022-01-01,21.5,90.0,0.0036468883
2022-01-01,21.0,91.0,0.0012634437
2022-01-01,21.0,88.75,0.0028342356
2022-01-01,21.25,90.0,0.029626092
2022-01-01,21.75,90.0,0.008440605
2022-01-01,21.75,88.0,0.0021941387
2022-01-01,20.5,88.0,0.008168172
2022-01-01,20.25,89.5,0.01080278
2022-01-01,21.0,90.0,0.002516024
2022-01-01,21.25,90.75,0.0018805885
2022-01-01,20.75,88.0,0.0014614272
2022-01-01,21.5,89.25,0.03091041
2022-01-01,20.25,90.25,0.002941228
2022-01-01,20.5,88.75,0.012225185
2022-01-01,21.0,89.0,0.0030202353
2022-01-01,20.75,88.25,0.0019636182
2022-01-01,21.0,90.25,0.0016189772
2022-01-01,20.5,90.75,0.0013971744
2022-01-01,21.0,87.0,0.0026838023
2022-01-01,21.25,91.0,0.0020707124
2022-01-01,20.0,90.75,0.0016375338
2022-01-01,20.75,91.0,0.00084186986
2022-01-01,21.0,87.75,0.0010219465
2022-01-01,20.0,89.75,0.006351444
2022-01-01,21.5,87.25,0.0022368082
2022-01-01,21.0,89.25,0.0032640207
2022-01-01,21.0,90.5,0.0011591507
2022-01-01,21.5,89.5,0.018472236
2022-01-01,20.5,90.5,0.0032521752
2022-01-01,22.0,90.75,0.016781842
2022-01-01,21.25,90.25,0.016413482
2022-01-01,20.25,89.0,0.011074681
2022-01-01,20.25,88.75,0.012281145
2022-01-01,20.0,87.25,0.023349356
2022-01-01,20.75,88.5,0.0021656202
2022-01-01,20.0,89.5,0.0056351344
2022-01-01,20.0,87.75,0.017777959
2022-01-01,20.0,91.0,0.0011023732
2022-01-01,22.0,91.0,0.015070941
2022-01-01,20.5,87.75,0.002645092
2022-01-01,21.25,90.5,0.0016840769
2022-01-01,20.75,90.75,0.001081158
2022-01-01,21.75,91.0,0.010208897
2022-01-01,21.5,89.0,0.03247483
2022-01-01,21.75,87.75,0.0036737064
2022-01-01,21.5,90.5,0.01061617
2022-01-01,21.25,88.5,0.00269578
2022-01-01,22.0,90.5,0.013104583
2022-01-01,20.75,89.75,0.011585657
2022-01-01,20.25,88.25,0.015610171
2022-01-01,20.0,90.25,0.0046220105
2022-01-01,20.25,87.75,0.012569079
2022-01-01,20.75,87.5,0.0008678491
2022-01-01,20.5,89.75,0.010504664
2022-01-01,20.0,87.0,0.01562041
2022-01-01,20.25,91.0,0.001026907
2022-01-01,20.5,88.5,0.012380107
2022-01-01,21.75,90.75,0.011415681
2022-01-01,21.5,90.75,0.010691952
2022-01-01,21.25,87.25,0.001287314
2022-01-01,20.25,88.0,0.015839027
2022-01-01,21.5,88.0,0.0024011552
2022-01-01,21.25,88.25,0.0024111369
2022-01-01,20.25,90.0,0.0077899694
2022-01-01,20.5,89.25,0.011146744
2022-01-01,21.0,88.25,0.0022412988
2022-01-01,20.0,90.0,0.0066614766
2022-01-01,20.5,87.0,0.0021471607
2022-01-01,21.0,89.5,0.0051131602
2022-01-01,20.25,89.25,0.0103431335
2022-01-01,21.25,88.0,0.0022783708
2022-01-01,20.0,88.75,0.004458178
2022-01-01,20.75,87.25,0.0010071311
2022-01-01,20.0,88.0,0.013085081
2022-01-01,21.25,87.0,0.0021920968
2022-01-01,21.75,90.5,0.011165715
2022-01-01,20.5,89.5,0.010093435
2022-01-01,21.25,89.25,0.0057820147
2022-01-01,21.75,89.5,0.07749386
2022-01-01,20.75,89.25,0.008110736
2022-01-01,20.25,89.75,0.012682261
2022-01-01,22.25,91.0,0.023313062
2022-01-01,20.5,88.25,0.011493717
2022-01-01,21.5,87.75,0.00258791
2022-01-01,21.5,90.25,0.011524101
2022-01-01,20.25,88.5,0.014203821
2022-01-01,21.25,87.5,0.0011974212
2022-01-01,21.25,89.0,0.006952718
2022-01-01,20.75,87.0,0.0032580514
2022-01-01,20.75,90.25,0.0057485155
2022-01-01,20.25,87.5,0.006456898
2022-01-01,21.0,88.5,0.0023929493
2022-01-01,20.5,90.0,0.007170566
2022-01-01,21.0,89.75,0.004128726
2022-01-01,20.0,88.25,0.008795937
2022-01-01,21.5,88.5,0.0028321985
2022-01-01,20.75,90.5,0.0021703443
2022-01-01,21.0,87.25,0.00065338094
2022-01-01,21.25,88.75,0.004239646
2022-01-01,21.75,89.75,0.050461654
2022-01-01,21.0,87.5,0.0007708429
2022-01-01,20.0,89.0,0.0042004623
2022-01-01,21.25,87.75,0.0021848108
2022-01-01,20.75,89.5,0.009516382
2022-01-01,22.5,91.0,0.05433124
2022-01-01,20.5,87.25,0.0011031963
2022-01-01,21.5,91.0,0.011392319
2022-01-01,20.75,90.0,0.00902483
2022-02-01,20.25,89.25,0.016939098
2022-02-01,21.25,91.0,0.0013537643
2022-02-01,20.75,88.0,0.00068537676
2022-02-01,20.75,87.5,0.00042717604
2022-02-01,21.75,89.75,0.06280009
2022-02-01,21.5,87.75,0.0020684053
2022-02-01,20.5,88.25,0.0040559685
2022-02-01,21.0,89.75,0.0024301806
2022-02-01,20.25,90.5,0.009111911
2022-02-01,21.5,87.5,0.0022287571
2022-02-01,20.75,87.75,0.0005044535
2022-02-01,21.0,90.0,0.0023444053
2022-02-01,21.0,87.25,0.00043981383
2022-02-01,20.0,90.5,0.0072666
2022-02-01,20.25,89.0,0.01649713
2022-02-01,20.75,87.25,0.0008944705
2022-02-01,20.5,88.0,0.0020512668
2022-02-01,21.5,87.25,0.0015194155
2022-02-01,21.5,88.0,0.0018737754
2022-02-01,20.0,90.25,0.009559414
2022-02-01,21.0,89.5,0.0022755233
2022-02-01,20.25,87.0,0.0012274593
2022-02-01,21.0,87.0,0.0021372524
2022-02-01,21.25,89.0,0.0024196904
2022-02-01,21.75,89.5,0.082576714
2022-02-01,21.0,91.0,0.0008601668
2022-02-01,20.25,87.5,0.0022186455
2022-02-01,20.5,87.25,0.0010665884
2022-02-01,21.25,88.75,0.0016347734
2022-02-01,20.75,90.5,0.0071131014
2022-02-01,20.75,89.5,0.005149044
2022-02-01,21.25,87.0,0.0013701778
2022-02-01,21.25,88.5,0.001669056
2022-02-01,20.75,89.75,0.0059342613
2022-02-01,22.0,90.5,0.008355893
2022-02-01,20.25,88.5,0.013360053
2022-02-01,20.25,87.75,0.0046295603
2022-02-01,21.25,88.25,0.001745133
2022-02-01,21.25,87.25,0.0006743463
2022-02-01,20.5,87.0,0.0019555958
2022-02-01,20.25,91.0,0.012163152
2022-02-01,21.25,88.0,0.0016674538
2022-02-01,22.5,91.0,0.012414685
2022-02-01,20.75,90.0,0.0058427206
2022-02-01,20.25,88.25,0.01098645
2022-02-01,20.25,88.0,0.007837197
2022-02-01,21.25,87.75,0.0013471311
2022-02-01,20.0,88.0,0.021301517
2022-02-01,20.75,90.25,0.0076644304
2022-02-01,20.0,88.25,0.024915408
2022-02-01,20.0,90.75,0.008194192
2022-02-01,20.75,89.25,0.0034249818
2022-02-01,22.0,91.0,0.012021852
