time,latitude,longitude,spco2
2022-01-01,20.5,88.5,32.258465
2022-01-01,21.75,90.75,23.736052
2022-01-01,21.5,90.75,23.70053
2022-01-01,21.25,87.25,25.381966
2022-01-01,20.25,88.0,32.249264
2022-01-01,21.5,88.0,18.53818
2022-01-01,21.25,88.25,20.465265
2022-01-01,20.25,90.0,32.005993
2022-01-01,20.5,89.25,32.300655
2022-01-01,21.0,88.25,24.456308
2022-01-01,20.0,90.0,31.652222
2022-01-01,20.5,87.0,26.21913
2022-01-01,21.0,89.5,31.489668
2022-01-01,20.25,89.25,32.472507
2022-01-01,21.25,88.0,20.600956
2022-01-01,20.0,88.75,32.335304
2022-01-01,20.75,87.25,26.414371
2022-01-01,20.0,88.0,32.411594
2022-01-01,21.25,87.0,23.017159
2022-01-01,21.75,90.5,24.542015
2022-01-01,20.5,89.5,32.348175
2022-01-01,21.25,89.25,29.573645
2022-01-01,21.75,89.5,27.30551
2022-01-01,20.75,89.25,32.134266
2022-01-01,20.25,89.75,32.40319
2022-01-01,22.25,91.0,13.991786
2022-01-01,20.5,88.25,32.182682
2022-01-01,21.5,87.75,21.390179
2022-01-01,21.5,90.25,26.903343
2022-01-01,20.25,88.5,32.559067
2022-01-01,21.25,87.5,25.044085
2022-01-01,21.25,89.0,30.254324
2022-01-01,20.75,87.0,25.278347
2022-01-01,20.75,90.25,31.62793
2022-01-01,20.25,87.5,31.232224
2022-01-01,21.0,88.5,27.011778
2022-01-01,20.5,90.0,32.10585
2022-01-01,21.0,89.75,31.065819
2022-01-01,20.0,88.25,32.384136
2022-01-01,21.5,88.5,21.329916
2022-01-01,20.75,90.5,30.799183
2022-01-01,21.0,87.25,26.006586
2022-01-01,21.25,88.75,29.035456
2022-01-01,21.75,89.75,26.265116
2022-01-01,21.0,87.5,25.19657
2022-01-01,20.0,89.0,32.345375
2022-01-01,21.25,87.75,22.272285
2022-01-01,20.75,89.5,32.14855
2022-01-01,22.5,91.0,11.9120245
2022-01-01,20.5,87.25,28.288437
2022-01-01,21.5,91.0,22.363214
2022-01-01,20.75,90.0,31.990765
2022-02-01,20.25,89.25,32.506245
2022-02-01,21.25,91.0,27.863039
2022-02-01,20.75,88.0,29.966852
2022-02-01,20.75,87.5,30.042635
2022-02-01,21.75,89.75,28.897327
2022-02-01,21.5,87.75,26.336273
2022-02-01,20.5,88.25,31.40918
2022-02-01,21.0,89.75,30.126696
2022-02-01,20.25,90.5,31.710339
2022-02-01,21.5,87.5,26.691442
2022-02-01,20.75,87.75,29.876205
2022-02-01,21.0,90.0,30.153706
2022-02-01,21.0,87.25,29.84151
2022-02-01,20.0,90.5,31.908524
2022-02-01,20.25,89.0,32.435047
2022-02-01,20.75,87.25,29.659925
2022-02-01,20.5,88.0,31.314255
2022-02-01,21.5,87.25,26.320446
2022-02-01,21.5,88.0,24.621935
2022-02-01,20.0,90.25,32.158287
2022-02-01,21.0,89.5,29.950468
2022-02-01,20.25,87.0,30.653364
2022-02-01,21.0,87.0,28.466005
2022-02-01,21.25,89.0,28.273237
2022-02-01,21.75,89.5,30.204504
2022-02-01,21.0,91.0,29.135004
2022-02-01,20.25,87.5,31.316864
2022-02-01,20.5,87.25,30.18723
2022-02-01,21.25,88.75,25.605742
2022-02-01,20.75,90.5,31.096188
2022-02-01,20.75,89.5,31.56107
2022-02-01,21.25,87.0,27.016146
2022-02-01,21.25,88.5,24.758692
2022-02-01,20.75,89.75,31.535246
2022-02-01,22.0,90.5,24.222118
2022-02-01,20.25,88.5,32.13827
2022-02-01,20.25,87.75,31.564854
2022-02-01,21.25,88.25,25.170164
2022-02-01,21.25,87.25,29.24183
2022-02-01,20.5,87.0,29.84232
2022-02-01,20.25,91.0,32.270317
2022-02-01,21.25,88.0,26.25416
2022-02-01,22.5,91.0,13.355612
2022-02-01,20.75,90.0,31.30947
2022-02-01,20.25,88.25,31.942856
2022-02-01,20.25,88.0,31.7642
2022-02-01,21.25,87.75,27.656132
2022-02-01,20.0,88.0,32.8444
2022-02-01,20.75,90.25,31.294662
2022-02-01,20.0,88.25,33.001656
2022-02-01,20.0,90.75,31.921335
2022-02-01,20.75,89.25,31.386477
2022-02-01,22.0,91.0,22.392149
2022-02-01,20.75,88.25,30.233173
2022-02-01,21.0,90.25,30.166796
2022-02-01,21.25,90.75,28.363111
2022-02-01,21.75,88.0,20.603106
2022-02-01,22.0,90.75,24.086138
2022-02-01,20.75,91.0,30.369719
2022-02-01,21.25,90.5,28.691809
2022-02-01,20.5,87.75,30.94657
2022-02-01,20.0,91.0,32.376995
2022-02-01,22.25,90.75,18.289629
2022-02-01,20.25,88.75,32.303562
2022-02-01,21.25,90.25,30.644093
2022-02-01,21.25,89.25,29.809748
2022-02-01,20.75,88.5,30.419775
2022-02-01,21.25,90.0,31.038717
2022-02-01,20.0,87.5,32.14316
2022-02-01,20.75,88.75,30.584051
2022-02-01,20.25,90.75,31.827456
2022-02-01,21.0,90.75,29.456772
2022-02-01,21.25,89.75,29.71376
2022-02-01,20.5,87.5,30.494446
2022-02-01,21.25,89.5,29.597382
2022-02-01,21.75,90.25,26.926266
2022-02-01,20.75,89.0,30.990948
2022-02-01,20.25,87.25,30.985794
2022-02-01,20.75,90.75,30.618643
2022-02-01,21.0,90.5,29.888655
2022-02-01,21.5,88.25,22.086884
2022-02-01,21.25,87.5,29.132563
2022-02-01,20.25,89.5,32.43172
2022-02-01,21.0,87.75,29.204102
2022-02-01,21.0,87.5,29.924236
2022-02-01,21.0,89.0,28.66958
2022-02-01,20.5,89.75,31.954853
2022-02-01,20.0,89.75,32.869667
