time,latitude,longitude,no3
2022-01-01,20.5,90.25,0.56804866
2022-01-01,21.25,89.5,1.2260941
2022-01-01,22.5,90.75,35.102814
2022-01-01,20.25,90.75,1.5944824
2022-01-01,20.5,87.5,1.4157755
2022-01-01,20.25,90.5,1.1488763
2022-01-01,20.0,89.25,0.5002245
2022-01-01,21.75,90.25,11.22949
2022-01-01,20.75,89.0,0.43886012
2022-01-01,20.5,89.0,0.35774973
2022-01-01,21.5,88.75,3.8292127
2022-01-01,20.25,87.25,1.3787673
2022-01-01,20.0,88.5,0.4701864
2022-01-01,21.0,88.0,2.981021
2022-01-01,21.5,90.0,7.6032596
2022-01-01,21.0,91.0,11.773637
2022-01-01,21.0,88.75,1.672013
2022-01-01,21.25,90.0,7.475655
2022-01-01,21.75,90.0,6.3689613
2022-01-01,21.75,88.0,3.6218097
2022-01-01,20.5,88.0,0.6829144
2022-01-01,20.25,89.5,0.5460321
2022-01-01,21.0,90.0,1.3126389
2022-01-01,21.25,90.75,17.579456
2022-01-01,20.75,88.0,1.7531582
2022-01-01,21.5,89.25,3.0861256
2022-01-01,20.25,90.25,0.81158483
2022-01-01,20.5,88.75,0.38165793
2022-01-01,21.0,89.0,0.87426955
2022-01-01,20.75,88.25,1.2461329
2022-01-01,21.0,90.25,2.6179135
2022-01-01,20.5,90.75,1.0289848
2022-01-01,21.0,87.0,3.6729329
2022-01-01,21.25,91.0,19.076273
2022-01-01,20.0,90.75,1.8593838
2022-01-01,20.75,91.0,3.2035263
2022-01-01,21.0,87.75,2.9159296
2022-01-01,20.0,89.75,0.79560727
2022-01-01,21.5,87.25,3.1740017
2022-01-01,21.0,89.25,0.54343665
2022-01-01,21.0,90.5,5.671602
2022-01-01,21.5,89.5,3.3150122
2022-01-01,20.5,90.5,0.6648331
2022-01-01,22.0,90.75,25.693014
2022-01-01,21.25,90.25,12.012811
2022-01-01,20.25,89.0,0.37411395
2022-01-01,20.25,88.75,0.37634355
2022-01-01,20.0,87.25,0.98969585
2022-01-01,20.75,88.5,0.88355666
2022-01-01,20.0,89.5,0.65045446
2022-01-01,20.0,87.75,0.5379389
2022-01-01,20.0,91.0,1.935148
2022-01-01,22.0,91.0,31.365965
2022-01-01,20.5,87.75,1.0950081
2022-01-01,21.25,90.5,14.12397
2022-01-01,20.75,90.75,1.8820194
2022-01-01,21.75,91.0,28.61354
2022-01-01,21.5,89.0,2.993574
2022-01-01,21.75,87.75,4.2270937
2022-01-01,21.5,90.5,19.288317
2022-01-01,21.25,88.5,3.4582434
2022-01-01,22.0,90.5,18.583727
2022-01-01,20.75,89.75,0.4883271
2022-01-01,20.25,88.25,0.4427137
2022-01-01,20.0,90.25,1.1929208
2022-01-01,20.25,87.75,0.65623236
2022-01-01,20.75,87.5,2.445453
2022-01-01,20.5,89.75,0.5429356
2022-01-01,20.0,87.0,1.4462907
2022-01-01,20.25,91.0,1.6927037
